grid_number,correct,score,date,matrix,name
157,6,468,2023-09-06,"[[true, false, true], [true, false, false], [true, true, true]]",Will
158,7,380,2023-09-07,"[[false, true, true], [true, true, true], [false, true, true]]",Keith
158,3,695,2023-09-07,"[[false, false, false], [false, true, false], [false, true, true]]",Rachel
158,6,443,2023-09-07,"[[false, false, true], [false, true, true], [true, true, true]]",Sam
158,5,557,2023-09-07,"[[false, true, true], [false, true, false], [false, true, true]]",Will
159,6,381,2023-09-08,"[[true, true, true], [false, true, false], [false, true, true]]",Cliff
159,7,330,2023-09-08,"[[false, true, true], [true, true, false], [true, true, true]]",Keith
159,3,680,2023-09-08,"[[false, true, true], [false, true, false], [false, false, false]]",Rachel
159,5,503,2023-09-08,"[[false, true, true], [false, true, false], [false, true, true]]",Sam
159,3,644,2023-09-08,"[[false, false, true], [false, true, false], [false, false, true]]",Will
160,9,40,2023-09-09,"[[true, true, true], [true, true, true], [true, true, true]]",Cliff
160,9,39,2023-09-09,"[[true, true, true], [true, true, true], [true, true, true]]",Cliff
160,9,82,2023-09-09,"[[true, true, true], [true, true, true], [true, true, true]]",Keith
160,9,122,2023-09-09,"[[true, true, true], [true, true, true], [true, true, true]]",Rachel
160,9,152,2023-09-09,"[[true, true, true], [true, true, true], [true, true, true]]",Will
161,4,573,2023-09-10,"[[true, true, false], [true, false, false], [false, true, false]]",Cliff
161,4,591,2023-09-10,"[[true, true, false], [true, false, false], [false, false, true]]",Keith
161,4,624,2023-09-10,"[[true, true, false], [true, false, false], [false, false, true]]",Rachel
161,3,650,2023-09-10,"[[true, false, true], [false, true, false], [false, false, false]]",Sam
161,4,574,2023-09-10,"[[true, true, false], [true, false, false], [false, false, true]]",Will
162,7,261,2023-09-11,"[[false, true, true], [false, true, true], [true, true, true]]",Cliff
162,7,401,2023-09-11,"[[false, true, true], [true, true, true], [false, true, true]]",Keith
162,3,658,2023-09-11,"[[false, false, true], [false, true, true], [false, false, false]]",Rachel
162,8,363,2023-09-11,"[[true, true, true], [true, true, true], [false, true, true]]",Sam
162,6,500,2023-09-11,"[[false, true, true], [false, true, true], [false, true, true]]",Will
163,8,255,2023-09-12,"[[true, true, false], [true, true, true], [true, true, true]]",Cliff
163,8,332,2023-09-12,"[[true, true, false], [true, true, true], [true, true, true]]",Keith
163,3,687,2023-09-12,"[[false, true, false], [true, true, false], [false, false, false]]",Rachel
163,5,576,2023-09-12,"[[true, true, false], [true, true, false], [false, false, true]]",Will
164,8,155,2023-09-13,"[[true, true, true], [true, true, true], [true, true, false]]",Cliff
164,6,372,2023-09-13,"[[true, false, true], [true, true, false], [true, true, false]]",Keith
164,6,482,2023-09-13,"[[false, false, true], [true, true, false], [true, true, true]]",Rachel
164,8,263,2023-09-13,"[[true, true, true], [true, true, false], [true, true, true]]",Sam
164,9,183,2023-09-13,"[[true, true, true], [true, true, true], [true, true, true]]",Will
165,8,150,2023-09-14,"[[false, true, true], [true, true, true], [true, true, true]]",Cliff
165,8,151,2023-09-14,"[[false, true, true], [true, true, true], [true, true, true]]",Cliff
165,7,378,2023-09-14,"[[false, true, true], [true, true, true], [false, true, true]]",Keith
165,4,606,2023-09-14,"[[false, false, true], [true, false, true], [true, false, false]]",Rachel
165,7,342,2023-09-14,"[[false, true, true], [false, true, true], [true, true, true]]",Will
166,9,89,2023-09-15,"[[true, true, true], [true, true, true], [true, true, true]]",Cliff
166,7,291,2023-09-15,"[[false, true, true], [true, true, true], [true, false, true]]",Keith
166,6,435,2023-09-15,"[[false, true, true], [false, true, true], [false, true, true]]",Rachel
166,7,376,2023-09-15,"[[false, true, true], [false, true, true], [true, true, true]]",Sam
166,7,382,2023-09-15,"[[false, true, true], [false, true, true], [true, true, true]]",Will
167,5,418,2023-09-16,"[[false, true, false], [true, false, true], [true, false, true]]",Keith
167,5,453,2023-09-16,"[[true, true, false], [false, true, false], [true, true, false]]",Rachel
167,7,294,2023-09-16,"[[false, true, true], [true, true, false], [true, true, true]]",Sam
167,7,307,2023-09-16,"[[true, true, true], [true, true, false], [true, true, false]]",Will
168,6,404,2023-09-17,"[[true, false, true], [true, false, true], [true, false, true]]",Keith
168,6,434,2023-09-17,"[[false, false, true], [true, true, true], [true, false, true]]",Rachel
168,6,448,2023-09-17,"[[true, false, true], [false, false, true], [true, true, true]]",Sam
168,7,364,2023-09-17,"[[true, false, true], [true, true, true], [true, false, true]]",Will
169,5,617,2023-09-18,"[[false, false, true], [false, true, true], [true, false, true]]",Keith
169,2,751,2023-09-18,"[[true, false, true], [false, false, false], [false, false, false]]",Rachel
